k,rmse,corr
1,53.577139521513665,0.779610942992819
2,49.63094892031572,0.8606927578987729
3,48.88246396788073,0.8851889841655944
4,48.95175674275985,0.911731182352538
5,49.661552963696344,0.9173427611904831
6,48.60086313071858,0.9182319158734594
7,48.828048929304046,0.9056034521067579
8,48.464301833250445,0.9088408022737828
9,49.24691036087007,0.9123802286266692
10,49.70207279833089,0.910521282808849
