kx,ky,rmse,corr
1,1,54.651393414820824,0.812363624725651
1,2,55.6599356600005,0.8083450233271864
1,3,55.76479925400135,0.8071883833501307
1,4,55.76478197337377,0.8071890394385407
1,5,55.78747949200477,0.8077544398902715
1,6,55.78748156722378,0.807754335309112
1,7,55.77046452579774,0.8084074622533639
1,8,55.891924005249365,0.8088440741878672
1,9,55.893048683830266,0.8084352501453017
1,10,55.885337540807775,0.807797679107227
2,1,54.592840665057686,0.8182471624380439
2,2,50.196300155558276,0.8557120143692206
2,3,49.58058281577807,0.8515860622241446
2,4,49.27697251921954,0.8577677893436768
2,5,49.2911756516971,0.8592867544350712
2,6,49.29184660899144,0.8592796564376686
2,7,49.282279010042984,0.8591575865499069
2,8,49.42108301188322,0.8609060807226235
2,9,49.42189070710177,0.8605309144114333
2,10,49.4137562055177,0.8601842778504678
3,1,53.75224857164839,0.8673122264050785
3,2,48.57002576670093,0.9131180697103815
3,3,47.2358987437867,0.8967100199772772
3,4,46.26470098036332,0.9136336826079405
3,5,46.258220322121844,0.9166380685423439
3,6,46.34474774996653,0.9172742493679349
3,7,46.33682745777251,0.9178191949318923
3,8,46.52102810436835,0.9203719214092804
3,9,46.52190120347276,0.9201380771867087
3,10,46.53977841773622,0.9201748879624024
4,1,52.93459225062409,0.8899972262896277
4,2,47.43392398089928,0.9295979863627496
4,3,45.59513798979077,0.9140802727255578
4,4,43.73060921800835,0.9317232961612484
4,5,43.65447139234465,0.9324726376441639
4,6,43.62006210807782,0.9337164987550732
4,7,43.63788053620775,0.9355765481716695
4,8,43.83242685003152,0.9392104739363095
4,9,43.86842820164868,0.9392021016789309
4,10,43.890283972235586,0.9391672442820111
5,1,52.86212437070104,0.9038614058668719
5,2,47.649790560485386,0.9241911322601758
5,3,45.977708308058304,0.9162933502229215
5,4,43.68214955052885,0.9347636454466598
5,5,43.12436902760253,0.9370365032507274
5,6,43.10909776871418,0.9374135466173223
5,7,43.119905314653195,0.9373696206072953
5,8,43.231713315806466,0.9421282835577122
5,9,43.28325198923224,0.9420170145114397
5,10,43.296082515355074,0.9415118937673094
6,1,52.915598067609395,0.8738550307432612
6,2,47.762527868793825,0.9087958278651582
6,3,46.00657949347671,0.8925896509207607
6,4,43.7572933902778,0.9231669077254555
6,5,43.29990153595899,0.9263946999229343
6,6,43.50337499677128,0.9266590254338919
6,7,43.52195189389635,0.9317666108356396
6,8,43.62215433496567,0.9361283831517414
6,9,43.63911190686132,0.9352434306657079
6,10,43.647565720685265,0.9358062421659603
7,1,53.10398643978055,0.8994130952807493
7,2,48.32507209418341,0.9173310646654951
7,3,46.569180792329874,0.9034176663889121
7,4,44.42114424050575,0.9324684494267774
7,5,43.99552085794085,0.9367637706816226
7,6,44.16929763727264,0.9364872417193693
7,7,44.16451630329632,0.9382650124903671
7,8,44.47513888372452,0.9426987251234764
7,9,44.46161698751484,0.9395391743297988
7,10,44.55214711468633,0.9395249159865681
8,1,53.070429357298764,0.8947287456444006
8,2,48.5024691989624,0.9181507183628256
8,3,46.72658039929039,0.9001700369345368
8,4,44.59653614073572,0.9364609854507665
8,5,44.22300123449695,0.940538714501469
8,6,44.28793676406684,0.9409129382427045
8,7,44.885126877715116,0.9446070707117377
8,8,44.93928354025626,0.9490598961843425
8,9,45.08446842732828,0.9453759872024777
8,10,45.17412621317459,0.9454232389289583
9,1,53.420459023440316,0.8924565926638918
9,2,48.838190731156295,0.9004875716587334
9,3,46.93420165887412,0.8741821694573502
9,4,44.698515174324655,0.9191096925089447
9,5,44.495207454183884,0.9184325101188652
9,6,44.50010948804403,0.9165496375917441
9,7,45.5755210415981,0.9232975943442144
9,8,45.54645319100555,0.9290978061360018
9,9,45.65236709014488,0.9221508144129034
9,10,45.78062018194935,0.9208342959242386
10,1,54.88876526604938,0.8155780761428569
10,2,49.813500809897455,0.8639337581954255
10,3,47.93221614603635,0.8588090809598244
10,4,45.71991759214588,0.89910262995753
10,5,45.222062953963075,0.8934695497471994
10,6,45.15434156812257,0.8906457317992074
10,7,46.23848443325962,0.8886870450794573
10,8,46.320565921723265,0.8902567939592527
10,9,46.48727133413741,0.8869855298611712
10,10,46.569516789386924,0.8874990524475226
